Nacionalidades  ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Sierra Leona  ,4  ,1  ,4  ,6  ,6  ,7  ,8  ,8  ,4  ,4  ,4  ,7  ,3  ,3  ,5  ,1  ,6  ,5  ,7  ,3  
Singapur  ,1  ,0  ,0  ,0  ,0  ,2  ,10  ,8  ,9  ,11  ,11  ,11  ,15  ,5  ,15  ,19  ,9  ,17  ,14  ,25  
Siria  ,11  ,8  ,7  ,2  ,14  ,31  ,47  ,59  ,47  ,56  ,23  ,45  ,85  ,112  ,146  ,150  ,123  ,115  ,80  ,112  
Somalia  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,1  ,4  ,1  ,2  ,1  ,4  ,2  ,2  ,3  ,9  ,2  ,4  ,5  
Sri Lanka  ,0  ,0  ,0  ,0  ,1  ,0  ,3  ,2  ,9  ,5  ,6  ,5  ,3  ,6  ,2  ,5  ,10  ,5  ,4  ,7  
Sudáfrica  ,3  ,3  ,6  ,1  ,2  ,12  ,10  ,15  ,24  ,11  ,15  ,24  ,20  ,36  ,14  ,31  ,43  ,44  ,45  ,50  
Sudán  ,0  ,2  ,1  ,1  ,0  ,2  ,5  ,5  ,3  ,3  ,5  ,2  ,0  ,2  ,2  ,3  ,4  ,14  ,7  ,9  
Sudán del Sur  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  
Suecia  ,2  ,5  ,13  ,23  ,27  ,240  ,420  ,357  ,409  ,438  ,377  ,374  ,390  ,273  ,266  ,299  ,291  ,302  ,365  ,356  
Suiza  ,13  ,7  ,6  ,20  ,10  ,86  ,158  ,118  ,120  ,116  ,135  ,122  ,89  ,115  ,140  ,153  ,154  ,194  ,196  ,182  
Surinam  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,2  ,2  ,0  ,1  ,0  ,1  ,0  ,0  ,0  ,1  ,0  ,1  ,0  
Swazilandia  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,1  
Tailandia  ,0  ,0  ,1  ,2  ,1  ,9  ,18  ,28  ,25  ,15  ,22  ,31  ,27  ,30  ,31  ,24  ,36  ,23  ,37  ,38  
Tanzania  ,1  ,0  ,0  ,0  ,0  ,3  ,5  ,9  ,10  ,5  ,3  ,4  ,3  ,4  ,7  ,4  ,9  ,13  ,6  ,7  
Tayikistán  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,2  ,1  ,0  ,2  ,0  ,1  ,4  ,1  ,0  ,1  ,0  ,3  ,2  
Territorios Palestinos [o Palestina]  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,37  ,24  ,31  ,39  ,36  
Timor Oriental  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  
Togo    ,0  ,4  ,1  ,2  ,0  ,1  ,8  ,5  ,9  ,5  ,5  ,5  ,3  ,5  ,4  ,3  ,1  ,4  ,0  ,5  
Tonga  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  
Trinidad y Tobago  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,2  ,3  ,1  ,1  ,0  ,4  ,0  ,1  ,1  ,4  ,6  ,5  ,4  
Túnez  ,7  ,4  ,4  ,1  ,7  ,30  ,31  ,41  ,42  ,27  ,31  ,43  ,18  ,31  ,37  ,34  ,43  ,72  ,65  ,73  
Turkmenistán  ,1  ,0  ,1  ,0  ,0  ,2  ,0  ,0  ,1  ,2  ,0  ,1  ,1  ,0  ,1  ,5  ,5  ,4  ,3  ,0  
Turquía  ,3  ,0  ,0  ,3  ,8  ,43  ,76  ,109  ,146  ,174  ,139  ,227  ,218  ,201  ,200  ,258  ,319  ,446  ,374  ,364  
Ucrania  ,21  ,21  ,46  ,74  ,95  ,314  ,518  ,636  ,527  ,444  ,469  ,477  ,434  ,455  ,667  ,1033  ,887  ,894  ,855  ,916  
Uganda  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,4  ,4  ,1  ,0  ,2  ,3  ,3  ,3  ,4  ,7  ,5  ,2  
Uruguay  ,37  ,53  ,118  ,166  ,223  ,476  ,702  ,663  ,527  ,384  ,326  ,269  ,208  ,185  ,198  ,216  ,225  ,329  ,267  ,400  
Uzbekistán  ,0  ,0  ,4  ,3  ,6  ,2  ,26  ,40  ,19  ,20  ,7  ,19  ,16  ,11  ,13  ,11  ,23  ,30  ,21  ,24  
Venezuela  ,47  ,57  ,83  ,143  ,184  ,613  ,977  ,1121  ,1157  ,960  ,1041  ,1172  ,773  ,877  ,1381  ,1571  ,2050  ,3021  ,3934  ,5002  
Vietnam  ,0  ,0  ,0  ,0  ,0  ,7  ,7  ,7  ,14  ,16  ,9  ,23  ,16  ,15  ,25  ,36  ,60  ,107  ,114  ,98  
Yemen  ,0  ,0  ,0  ,0  ,0  ,1  ,1  ,3  ,0  ,4  ,1  ,0  ,0  ,3  ,3  ,3  ,1  ,2  ,10  ,3  
Zambia  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,1  ,0  ,2  ,1  ,0  ,2  ,2  ,2  ,3  
Zimbabwe  ,0  ,1  ,1  ,0  ,1  ,3  ,2  ,0  ,3  ,1  ,5  ,3  ,1  ,2  ,6  ,4  ,4  ,3  ,3  ,8  
Apátridas y no consta  ,3  ,0  ,2  ,7  ,5  ,15  ,25  ,40  ,44  ,38  ,33  ,48  ,53  ,43  ,55  ,66  ,40  ,45  ,48  ,60  
