Nacionalidades  ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China  ,102  ,138  ,394  ,555  ,1040  ,2621  ,3375  ,4454  ,5262  ,3869  ,3418  ,3290  ,2879  ,2747  ,2811  ,3091  ,2959  ,3299  ,3394  ,3719  
Chipre  ,0  ,0  ,0  ,0  ,0  ,2  ,4  ,6  ,10  ,5  ,8  ,12  ,12  ,10  ,20  ,22  ,25  ,27  ,31  ,35  
Colombia  ,350  ,519  ,1052  ,1046  ,1177  ,1816  ,2836  ,3364  ,3866  ,3142  ,2944  ,2746  ,2190  ,1896  ,1855  ,1971  ,2551  ,3255  ,4267  ,5976  
Comores  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  
Congo  ,8  ,5  ,4  ,11  ,3  ,8  ,14  ,17  ,16  ,10  ,10  ,14  ,8  ,6  ,12  ,7  ,7  ,11  ,13  ,10  
Corea  ,14  ,5  ,2  ,4  ,5  ,41  ,73  ,96  ,90  ,105  ,108  ,140  ,176  ,159  ,194  ,198  ,204  ,230  ,204  ,242  
Corea del Norte  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,1  ,0  ,0  ,3  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,2  ,1  
Costa de Marfil  ,2  ,3  ,2  ,4  ,2  ,13  ,21  ,33  ,47  ,19  ,14  ,18  ,15  ,9  ,11  ,10  ,18  ,19  ,26  ,29  
Costa Rica  ,3  ,1  ,4  ,1  ,2  ,32  ,71  ,77  ,107  ,83  ,79  ,104  ,97  ,81  ,104  ,130  ,199  ,190  ,184  ,179  
Croacia  ,0  ,1  ,0  ,4  ,5  ,21  ,20  ,29  ,43  ,39  ,35  ,31  ,35  ,43  ,47  ,57  ,79  ,89  ,94  ,109  
Cuba  ,99  ,104  ,129  ,160  ,169  ,397  ,615  ,674  ,690  ,527  ,489  ,528  ,504  ,443  ,445  ,417  ,359  ,491  ,529  ,721  
Dinamarca  ,3  ,2  ,11  ,11  ,10  ,75  ,82  ,88  ,79  ,67  ,96  ,99  ,107  ,76  ,102  ,91  ,115  ,125  ,111  ,153  
Djibouti  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,0  
Dominica  ,0  ,0  ,1  ,0  ,2  ,1  ,3  ,11  ,4  ,3  ,5  ,2  ,3  ,3  ,11  ,3  ,14  ,12  ,14  ,6  
Ecuador    ,418  ,948  ,1859  ,2726  ,2525  ,2885  ,3032  ,3530  ,4234  ,2933  ,2234  ,1842  ,1710  ,1549  ,1310  ,1335  ,1289  ,1432  ,1300  ,1324  
Egipto  ,2  ,3  ,3  ,3  ,7  ,28  ,26  ,57  ,65  ,40  ,70  ,72  ,54  ,112  ,113  ,165  ,180  ,162  ,170  ,194  
El Salvador  ,9  ,11  ,16  ,19  ,24  ,87  ,254  ,282  ,223  ,184  ,213  ,222  ,208  ,179  ,235  ,281  ,355  ,452  ,601  ,804  
Emiratos Árabes Unidos  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,1  ,1  ,1  ,4  ,1  ,0  ,2  ,0  ,4  ,4  ,5  ,5  
Eritrea  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,2  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,2  ,1  
Eslovenia  ,0  ,1  ,0  ,0  ,1  ,12  ,17  ,41  ,16  ,29  ,29  ,20  ,19  ,22  ,27  ,43  ,34  ,43  ,36  ,54  
España  ,20569  ,21489  ,23829  ,25039  ,25170  ,31027  ,29941  ,29521  ,29087  ,32373  ,35034  ,35594  ,33835  ,33553  ,36562  ,38026  ,33050  ,35354  ,33407  ,33635  
Estados Unidos de América  ,32  ,27  ,34  ,71  ,75  ,486  ,686  ,782  ,809  ,920  ,918  ,1004  ,896  ,857  ,1006  ,1128  ,1274  ,1507  ,1507  ,1708  
